"YIO","Pond Inlet Airport","Pond Inlet","Canada","72.6832962036","-77.9666976929","America/Toronto"
"YJN","St Jean Airport","St. Jean","Canada","45.29439926147461","-73.28109741210938","America/Toronto"
"YJT","Stephenville Airport","Stephenville","Canada","48.5442008972168","-58.54999923706055","America/St_Johns"
"YKA","Kamloops Airport","Kamloops","Canada","50.7022018433","-120.444000244","America/Vancouver"
"YKF","Waterloo Airport","Waterloo","Canada","43.460800170899994","-80.3786010742","America/Toronto"
"YKL","Schefferville Airport","Schefferville","Canada","54.805301666259766","-66.8052978515625","America/Toronto"
"YKY","Kindersley Airport","Kindersley","Canada","51.5175018311","-109.180999756","America/Regina"
"YKZ","Buttonville Municipal Airport","Toronto","Canada","43.86220169067383","-79.37000274658203","America/Toronto"
"YLD","Chapleau Airport","Chapleau","Canada","47.81999969482422","-83.3467025756836","America/Toronto"
"YLJ","Meadow Lake Airport","Meadow Lake","Canada","54.125301361083984","-108.52300262451172","America/Regina"
"YLL","Lloydminster Airport","Lloydminster","Canada","53.309200286865234","-110.072998046875","America/Edmonton"
"YLT","Alert Airport","Alert","Canada","82.51779937740001","-62.2806015015","America/Toronto"
"YLW","Kelowna International Airport","Kelowna","Canada","49.9561004639","-119.377998352","America/Vancouver"
"YMA","Mayo Airport","Mayo","Canada","63.61640167236328","-135.8679962158203","America/Vancouver"
"YMJ","Moose Jaw Air Vice Marshal C. M. McEwen Airport","Moose Jaw","Canada","50.330299377441406","-105.55899810791016","America/Regina"
"YMM","Fort McMurray Airport","Fort Mcmurray","Canada","56.653301239","-111.222000122","America/Edmonton"
"YMO","Moosonee Airport","Moosonee","Canada","51.291099548339844","-80.60780334472656","America/Toronto"
"YMW","Maniwaki Airport","Maniwaki","Canada","46.2728004456","-75.9906005859","America/Toronto"
"YMX","Montreal International (Mirabel) Airport","Montreal","Canada","45.6795005798","-74.0386962891","America/Toronto"
"YNA","Natashquan Airport","Natashquan","Canada","50.189998626708984","-61.78919982910156","America/Toronto"
"YND","Ottawa / Gatineau Airport","Gatineau","Canada","45.521701812699995","-75.5635986328","America/Toronto"
"YNM","Matagami Airport","Matagami","Canada","49.76169967651367","-77.80280303955078","America/Toronto"
"YOC","Old Crow Airport","Old Crow","Canada","67.57060241699219","-139.83900451660156","America/Vancouver"
"YOD","CFB Cold Lake","Cold Lake","Canada","54.404998779296875","-110.27899932861328","America/Edmonton"
"YOJ","High Level Airport","High Level","Canada","58.62139892578125","-117.16500091552734","America/Edmonton"
"YOW","Ottawa Macdonald-Cartier International Airport","Ottawa","Canada","45.3224983215332","-75.66919708251953","America/Toronto"
"YPA","Prince Albert Glass Field","Prince Albert","Canada","53.214199066199996","-105.672996521","America/Regina"
"YPE","Peace River Airport","Peace River","Canada","56.226898193359375","-117.4469985961914","America/Edmonton"
"YPG","Southport Airport","Portage-la-prairie","Canada","49.903099","-98.273817","America/Winnipeg"
"YPL","Pickle Lake Airport","Pickle Lake","Canada","51.4463996887207","-90.21420288085938","America/Coral_Harbour"
"YPN","Port Menier Airport","Port Menier","Canada","49.83639907836914","-64.2885971069336","America/Toronto"
"YPQ","Peterborough Airport","Peterborough","Canada","44.22999954223633","-78.36329650878906","America/Toronto"
"YPR","Prince Rupert Airport","Prince Pupert","Canada","54.286098480199996","-130.445007324","America/Vancouver"
"YPY","Fort Chipewyan Airport","Fort Chipewyan","Canada","58.7672004699707","-111.11699676513672","America/Edmonton"
"YQA","Muskoka Airport","Muskoka","Canada","44.974700927734375","-79.30329895019531","America/Toronto"
"YQB","Quebec Jean Lesage International Airport","Quebec","Canada","46.7911","-71.393303","America/Toronto"
"YQF","Red Deer Regional Airport","Red Deer Industrial","Canada","52.18220138549805","-113.89399719238281","America/Edmonton"
"YQG","Windsor Airport","Windsor","Canada","42.27560043334961","-82.95559692382812","America/Toronto"
"YQH","Watson Lake Airport","Watson Lake","Canada","60.11640167236328","-128.82200622558594","America/Vancouver"
"YQK","Kenora Airport","Kenora","Canada","49.788299560546875","-94.36309814453125","America/Winnipeg"
"YQL","Lethbridge County Airport","Lethbridge","Canada","49.6302986145","-112.800003052","America/Edmonton"
"YQM","Greater Moncton International Airport","Moncton","Canada","46.11220169067383","-64.67859649658203","America/Halifax"
"YQQ","Comox Airport","Comox","Canada","49.71080017089844","-124.88700103759766","America/Vancouver"
"YQR","Regina International Airport","Regina","Canada","50.43190002441406","-104.66600036621094","America/Regina"
"YQT","Thunder Bay Airport","Thunder Bay","Canada","48.37189865112305","-89.32389831542969","America/Toronto"
"YQU","Grande Prairie Airport","Grande Prairie","Canada","55.1796989441","-118.885002136","America/Edmonton"
"YQV","Yorkton Municipal Airport","Yorkton","Canada","51.26470184326172","-102.46199798583984","America/Regina"
"YQW","North Battleford Airport","North Battleford","Canada","52.76919937133789","-108.24400329589844","America/Regina"
"YQX","Gander International Airport","Gander","Canada","48.9369010925293","-54.56809997558594","America/St_Johns"
"YQY","Sydney / J.A. Douglas McCurdy Airport","Sydney","Canada","46.161399841299996","-60.0477981567","America/Halifax"
"YQZ","Quesnel Airport","Quesnel","Canada","53.026100158691406","-122.51000213623047","America/Vancouver"
"YRB","Resolute Bay Airport","Resolute","Canada","74.7169036865","-94.9693984985","America/Winnipeg"
"YRI","Rivière-du-Loup Airport","Riviere Du Loup","Canada","47.764400482177734","-69.58470153808594","America/Toronto"
"YRJ","Roberval Airport","Roberval","Canada","48.52000045776367","-72.2656021118164","America/Toronto"
"YRM","Rocky Mountain House Airport","Rocky Mountain House","Canada","52.4296989441","-114.903999329","America/Edmonton"
"YRT","Rankin Inlet Airport","Rankin Inlet","Canada","62.8114013672","-92.1157989502","America/Winnipeg"
"YSB","Sudbury Airport","Sudbury","Canada","46.625","-80.79889678955078","America/Toronto"
"YSC","Sherbrooke Airport","Sherbrooke","Canada","45.4385986328125","-71.69139862060547","America/Toronto"
"YSJ","Saint John Airport","St. John","Canada","45.31610107421875","-65.89029693603516","America/Halifax"
"YSM","Fort Smith Airport","Fort Smith","Canada","60.020301818847656","-111.96199798583984","America/Edmonton"
"YSR","Nanisivik Airport","Nanisivik","Canada","72.982201","-84.613602","America/Toronto"
"YSU","Summerside Airport","Summerside","Canada","46.44060134887695","-63.83359909057617","America/Halifax"
"YSY","Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport","Sachs Harbour","Canada","71.9938964844","-125.242996216","America/Edmonton"
"YTE","Cape Dorset Airport","Cape Dorset","Canada","64.2300033569","-76.5267028809","America/Toronto"
"YTH","Thompson Airport","Thompson","Canada","55.80110168457031","-97.86419677734375","America/Winnipeg"
"YTR","CFB Trenton","Trenton","Canada","44.118900299072266","-77.5280990600586","America/Toronto"
"YTS","Timmins/Victor M. Power","Timmins","Canada","48.569698333699996","-81.376701355","America/Toronto"
"YTZ","Billy Bishop Toronto City Centre Airport","Toronto","Canada","43.627499","-79.396202","America/Toronto"
"YUB","Tuktoyaktuk Airport","Tuktoyaktuk","Canada","69.43329620361328","-133.0260009765625","America/Edmonton"
"YUL","Montreal / Pierre Elliott Trudeau International Airport","Montreal","Canada","45.4706001282","-73.7407989502","America/Toronto"
"YUT","Repulse Bay Airport","Repulse Bay","Canada","66.5214004517","-86.22470092770001","America/Winnipeg"
"YUX","Hall Beach Airport","Hall Beach","Canada","68.77610015869999","-81.2425","America/Toronto"
"YUY","Rouyn Noranda Airport","Rouyn","Canada","48.20610046386719","-78.83560180664062","America/Toronto"
"YVC","La Ronge Airport","La Ronge","Canada","55.151401519800004","-105.262001038","America/Regina"
"YVG","Vermilion Airport","Vermillion","Canada","53.355800628699996","-110.823997498","America/Edmonton"
"YVM","Qikiqtarjuaq Airport","Broughton Island","Canada","67.5457992554","-64.03140258789999","America/Toronto"
"YVO","Val-d'Or Airport","Val D'or","Canada","48.0532989502","-77.7827987671","America/Toronto"
"YVP","Kuujjuaq Airport","Quujjuaq","Canada","58.096099853515625","-68.4269027709961","America/Toronto"
"YVQ","Norman Wells Airport","Norman Wells","Canada","65.28160095214844","-126.7979965209961","America/Edmonton"
